rank,team,played,won,drawn,lost,goals_for,goals_against,points,goal_difference
1,arsenal,27,17,7,3,52,20,58,32
2,manchester_city,26,16,5,5,54,24,53,30
3,aston_villa,26,15,5,6,37,27,50,10
4,manchester_united,26,12,9,5,47,37,45,10
5,chelsea,26,12,8,6,47,30,44,17
6,liverpool,26,12,6,8,41,35,42,6
7,brentford,26,12,4,10,40,35,40,5
8,everton,26,10,7,9,29,30,37,-1
9,bournemouth,26,9,10,7,43,45,37,-2
10,newcastle_united,26,10,6,10,37,37,36,0
11,sunderland,26,9,9,8,27,30,36,-3
12,fulham,26,10,4,12,35,40,34,-5
13,crystal_palace,26,8,8,10,28,32,32,-4
14,brighton_&_hove_albion,26,7,10,9,34,34,31,0
15,leeds_united,26,7,9,10,36,45,30,-9
16,tottenham_hotspur,26,7,8,11,36,37,29,-1
17,nottingham_forest,26,7,6,13,25,38,27,-13
18,west_ham_united,26,6,6,14,32,49,24,-17
19,burnley,26,4,6,16,28,51,18,-23
20,wolverhampton,27,1,7,19,18,50,10,-32
